capturedDate,impressions,clicks,impressions_cumul,clicks_cumul,channel_name,region
2018-09-22,1.0,0.0,197299.0,166.0,Display,Jakarta Raya
2018-09-22,265.0,0.0,197564.0,166.0,Display,Jakarta Raya
2018-09-22,52599.0,66.0,250163.0,232.0,Display,Jakarta Raya
2018-09-22,1.0,0.0,250164.0,232.0,Display,Jakarta Raya
2018-09-22,3.0,0.0,250167.0,232.0,Display,Jakarta Raya
2018-09-22,196.0,0.0,250363.0,232.0,Display,Jakarta Raya
2018-09-23,1.0,0.0,250364.0,232.0,Display,Jakarta Raya
2018-09-23,20.0,0.0,250384.0,232.0,Display,Jakarta Raya
2018-09-23,0.0,0.0,250384.0,232.0,Display,Jakarta Raya
2018-09-23,116.0,0.0,250500.0,232.0,Display,Jakarta Raya
2018-09-23,2.0,0.0,250502.0,232.0,Display,Jakarta Raya
2018-09-23,429.0,0.0,250931.0,232.0,Display,Jakarta Raya
2018-09-23,1.0,0.0,250932.0,232.0,Display,Jakarta Raya
2018-09-23,6.0,0.0,250938.0,232.0,Display,Jakarta Raya
2018-09-23,28.0,0.0,250966.0,232.0,Display,Jakarta Raya
2018-09-23,1.0,0.0,250967.0,232.0,Display,Jakarta Raya
2018-09-23,588.0,0.0,251555.0,232.0,Display,Jakarta Raya
2018-09-23,14.0,0.0,251569.0,232.0,Display,Jakarta Raya
2018-09-23,28.0,0.0,251597.0,232.0,Display,Jakarta Raya
2018-09-23,255.0,0.0,251852.0,232.0,Display,Jakarta Raya
2018-09-23,37468.0,44.0,289320.0,276.0,Display,Jakarta Raya
2018-09-23,1.0,0.0,289321.0,276.0,Display,Jakarta Raya
